Flux	Value
R_e6dAex	0
R_e6dAMPex	0
R_e7dAex	0
R_e7dAMPex	0
R_e7dGex	0
R_e7dGMPex	0
R_e8dGex	0
R_e8dGMPex	0
R_enoxacinex	0
R_epsilon1N2dGex	0
R_epsilon1N2dGMPex	0
R_epsilon1N6dAex	0
R_epsilon1N6dAMPex	0
R_epsilon3N4dCex	0
R_epsilon3N4dCMPex	0
R_epsilonN23dGex	0
R_epsilonN23dGMPex	0
R_ethidiumex	0
R_ETNex	0
R_F1Pex	0
R_f5dUex	0
R_f5dUMPex	0
R_F6Pex	0
R_FADex	0
R_FADH2ex	0
R_FALDex	0
R_FAPydAex	0
R_FAPydAMPex	0
R_FAPydGex	0
R_FAPydGMPex	0
R_FDPex	0
R_FE2ex	0
R_FE3ex	0.00109295952847839
R_FMETex	0
R_FMNex	0
R_FMNH2ex	0
R_FORex	0
R_FRUex	0
R_FTHF10ex	0
R_FTHF5ex	0
R_FUC1Pex	0
R_G1Pex	0
R_G23CMPex	0
R_G2Pex	0
R_G3MPex	0
R_G3Pex	0
R_G6Pex	0
R_GalCer16ex	0
R_GalDAG160ex	0
R_GalDAG161ex	0
R_GalDAG181ex	0
R_GalGalCer16ex	0
R_GalGalDAG160ex	0
R_GalGalDAG161ex	0
R_GalGalDAG181ex	0
R_GalGalGalDAG160ex	0
R_GalGalGalDAG161ex	0
R_GalGalGalDAG181ex	0
R_GalGalGlcCer16ex	0
R_GalGalGlcDAG160ex	0
R_GalGalGlcDAG161ex	0
R_GalGalGlcDAG181ex	0
R_GalGlcCer16ex	0
R_GalGlcDAG160ex	0
R_GalGlcDAG161ex	0
R_GalGlcDAG181ex	0
R_GDPex	0
R_GDPTPex	0
R_LIPASE_TRIMYRISTIN_MG310	0
R_LIPASE_TRIMYRISTIN_MG327	0
R_LIPASE_TRIMYRISTIN_MG344	0
R_LIPASE_TRIOLEIN_MG310	0
R_LIPASE_TRIOLEIN_MG327	0
R_LIPASE_TRIOLEIN_MG344	0
